#---EXFOR Request #1063
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0083006 
#NOW            2022/01/17:06:16:58
#SUBENT         L0083006   20050713
#ENTRY          L0083      20050713
#AUTHOR1        J.Ahrens+
#YEAR           1972
#X4REF1         C,72SENDAI,213,1972
#REFERENCE1     Conf: Conf.Nucl.Structure Studies, Sendai, Japan, 1972, p.213 (1972)
#REACTION       13-AL-27(G,ABS),,SIG
#D4REAC         R0#
#C4Reaction     (G,ABS),SIG
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           256         3           12
 0.08        1.734       11.         
 3.2         1.532       11.2        
 1.807       1.445       11.4        
 1.084       1.45        11.6        
 0.072       1.6         11.8        
 2.768       1.518       12.         
 4.697       1.518       12.2        
 6.641       1.23        12.4        
 2.41        1.532       12.6        
 2.168       1.3         12.8        
 1.6         1.6         13.         
 2.168       1.6         13.2        
 6.57        1.3         13.4        
 6.143       1.445       13.6        
 5.254       1.45        13.8        
 5.182       1.48        14.         
 5.23        1.626       14.2        
 4.7         1.532       14.4        
 7.227       1.235       14.6        
 9.395       1.45        14.8        
 6.865       1.6         15.         
 5.911       1.532       15.2        
 12.647      1.6         15.4        
 12.285      1.1         15.6        
 11.924      1.662       15.8        
 12.647      1.41        16.         
 16.2        1.662       16.2        
 15.176      1.38        16.4        
 16.42       1.42        16.6        
 19.874      1.8         16.8        
 19.563      1.677       17.         
 20.437      1.68        17.2        
 20.235      2.04        17.4        
 21.167      1.5         17.6        
 23.357      1.445       17.8        
 26.02       1.68        18.         
 31.07       1.6         18.2        
 32.52       1.677       18.4        
 28.907      1.81        18.6        
 30.714      1.445       18.8        
 27.411      1.734       19.         
 33.243      1.81        19.2        
 30.352      1.68        19.4        
 33.97       1.81        19.6        
 35.765      1.6         19.8        
 37.579      1.89        20.         
 37.52       2.189       20.2        
 40.47       2.02        20.4        
 41.532      2.02        20.6        
 38.685      2.06        20.8        
 41.192      3.035       21.         
 40.145      2.19        21.2        
 37.88       2.48        21.4        
 40.145      2.746       21.6        
 40.874      2.53        21.8        
 39.747      2.168       22.         
 35.295      2.24        22.2        
 36.134      2.313       22.4        
 29.297      1.81        22.6        
 24.82       3.768       22.8        
 31.017      1.893       23.         
 26.276      1.88        23.2        
 27.736      1.9         23.4        
 24.087      2.17        23.6        
 23.126      3.83        23.8        
 20.654      2.276       24.         
 24.1        2.04        24.2        
 23.848      2.139       24.4        
 22.063      1.814       24.6        
 23.126      2.89        24.8        
 22.042      2.023       25.         
 19.15       2.746       25.2        
 20.235      2.41        25.4        
 23.85       2.168       25.6        
 24.57       5.637       25.8        
 19.51       2.385       26.         
 23.357      2.46        26.2        
 17.         2.5         26.4        
 15.55       2.46        26.6        
 13.87       2.53        26.8        
 18.1        2.168       27.         
 19.19       2.          27.2        
 20.235      2.53        27.4        
 16.62       2.537       27.6        
 17.         2.551       27.8        
 19.874      2.48        28.         
 16.98       2.19        28.2        
 13.427      2.313       28.4        
 12.285      2.89        28.6        
 13.138      1.792       28.8        
 14.468      1.662       29.         
 15.176      2.54        29.2        
 16.42       1.6         29.4        
 13.369      1.81        29.6        
 17.344      1.821       29.8        
 15.176      2.117       30.         
 11.924      1.81        30.2        
 16.62       1.771       30.4        
 15.176      2.          30.6        
 12.257      1.48        30.8        
 13.37       1.843       31.         
 16.058      1.95        31.2        
 13.73       1.532       31.4        
 13.         1.8         31.6        
 13.868      1.79        31.8        
 12.285      1.684       32.         
 10.22       2.53        32.2        
 13.138      1.518       32.4        
 14.         1.41        32.6        
 4.          2.674       32.8        
 13.138      2.11        33.         
 16.06       1.6         33.2        
 12.647      2.2         33.4        
 10.95       1.66        33.6        
 13.377      1.893       33.8        
 10.5        1.987       34.         
 10.479      1.7         34.2        
 11.94       2.168       34.4        
 14.157      1.81        34.6        
 15.176      1.915       34.8        
 7.227       1.8         35.         
 5.84        2.53        35.2        
 10.84       1.915       35.4        
 10.117      2.327       35.6        
 9.192       1.82        35.8        
 8.325       1.662       36.         
 8.672       2.26        36.2        
 9.337       1.8         36.4        
 9.92        2.          36.6        
 4.          2.24        36.8        
 8.672       2.1         37.         
 10.724      2.24        37.2        
 10.95       2.168       37.4        
 10.12       2.168       37.6        
 9.395       2.17        37.8        
 7.227       2.2         38.         
 7.59        1.8         38.2        
 9.395       2.53        38.4        
 7.552       1.8         38.6        
 5.4         2.53        38.8        
 9.76        1.95        39.         
#ENDDATA        145         3
#Legend         3           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     M0825010 
