#---EXFOR Request #1068
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0048002 
#NOW            2022/01/17:06:22:08
#SUBENT         L0048002   970129
#ENTRY          L0048      970129
#AUTHOR1        J.W.Jury+
#YEAR           1979
#X4REF1         J,PR/C,19,1684,7905
#REFERENCE1     Jour: Physical Review, Part C, Nuclear Physics, Vol.19, p.1684 (1979)
#REACTION       (6-C-13(G,N)6-C-12,,SIG)+(6-C-13(G,N+P)5-B-11,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           177         3           12
 3.29        0.17        11.32       0.          
 1.71        0.09        11.43       0.          
 1.71        0.09        11.55       0.          
 1.62        0.09        11.71       0.          
 1.79        0.09        11.85       0.          
 2.88        0.09        11.98       0.          
 3.14        0.21        12.12       0.          
 2.62        0.1         12.25       0.          
 2.07        0.11        12.33       0.          
 1.9                     12.49       0.          
 2.14                    12.61       0.          
 2.39        0.14        12.82       0.          
 2.49        0.14        13.         0.          
 2.74        0.11        13.17       0.          
 2.49        0.11        13.39       0.          
 2.97        0.21        13.51       0.          
 2.73        0.17        13.71       0.          
 2.64        0.21        13.94       0.          
 3.          0.15        14.01       0.          
 2.88        0.21        14.14       0.          
 2.17        0.2         14.23       0.          
 2.49        0.21        14.35       0.          
 2.41        0.2         14.55       0.          
 1.9         0.2         14.79       0.          
 2.19        0.21        14.99       0.          
 2.62        0.21        15.27       0.          
 1.9         0.2         15.78       0.          
 1.69        0.19        15.99       0.          
 1.33        0.19        16.41       0.          
 1.17        0.19        16.97       0.          
 0.95        0.19        17.64       0.          
 1.17        0.19        18.41       0.          
 1.14        0.19        19.09       0.          
 1.84        0.21        19.79       0.          
 2.55        0.29        20.41       0.          
 2.41        0.25        21.03       0.          
 1.81        0.26        21.74       0.          
 1.33        0.21        22.44       0.          
 1.14        0.25        23.25       0.          
#ENDDATA        75          4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#COL-4         : Data        : constant    
#+   Rank      : 2.1         : X2.Value    
#+   Type      : 52          : 3.1         
#+   Header    : E-LVL       : [Secondary energy: level energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     M0324008 
#=============================================================================
#DATASET        M0363002 
#NOW            2022/01/17:06:22:08
#SUBENT         M0363002   20161019
#ENTRY          M0363      20161019
#AUTHOR1        R.Koch+
#YEAR           1976
#X4REF1         J,NP/A,272,296,1976
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.272, p.296 (1976)
#REACTION       (6-C-13(G,N)6-C-12,,SIG,,BRS)+(6-C-13(G,N+P)5-B-11,,SIG,,BRS)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG,,BRS)+((G,N+P),SIG,,BRS)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           89          3           12
 0.          0.001       4.87        
 0.          0.001       4.9         
 0.          0.001       4.97        
 0.          0.003       5.05        
 0.01        0.003       5.14        
 0.02        0.003       5.28        
 0.05        0.005       5.45        
 0.08        0.005       5.64        
 0.09        0.005       5.84        
 0.12        0.007       6.04        
 0.12        0.007       6.25        
 0.11        0.007       6.44        
 0.14        0.009       6.64        
 0.2         0.009       6.81        
 0.2         0.009       6.98        
 0.27        0.01        7.15        
 0.33        0.01        7.32        
 0.39        0.01        7.5         
 0.58        0.01        7.67        
 0.55        0.01        7.84        
 0.4         0.01        8.01        
 0.37        0.03        8.19        
 0.14        0.03        8.36        
 0.09        0.03        8.53        
 0.33        0.03        8.7         
 0.32        0.03        8.87        
 0.37        0.06        9.05        
 0.44        0.06        9.22        
 0.35        0.06        9.39        
 0.29        0.06        9.56        
 0.4         0.06        9.74        
 0.61        0.06        9.91        
 0.7         0.08        10.08       
 0.58        0.08        10.25       
 0.66        0.08        10.42       
 0.86        0.08        10.6        
 1.          0.08        10.77       
 1.25        0.08        10.94       
 1.32        0.08        11.11       
 0.94        0.08        11.29       
 0.86        0.08        11.46       
 1.08        0.1         11.63       
 1.09        0.1         11.8        
 1.32        0.1         11.97       
 1.33        0.1         12.15       
 1.32        0.1         12.32       
 1.3         0.1         12.49       
 1.48        0.1         12.66       
 1.75        0.11        12.84       
 1.6         0.11        13.01       
 1.68        0.11        13.18       
 1.54        0.11        13.35       
 1.59        0.12        13.52       
 1.71        0.12        13.7        
 1.67        0.12        13.87       
 1.58        0.12        14.04       
 1.2         0.1         14.21       
 1.1         0.12        14.39       
 1.33        0.14        14.56       
 1.77        0.14        14.73       
 1.93        0.14        15.07       
 1.04        0.15        15.42       
 0.93        0.17        15.76       
 0.85        0.17        16.11       
 1.45        0.17        16.46       
 1.4         0.19        16.8        
 1.21        0.2         17.14       
 1.29        0.2         17.49       
 1.55        0.2         17.83       
 1.46        0.21        18.18       
 1.91        0.21        18.52       
 2.64        0.22        18.86       
 2.73        0.21        19.21       
 3.14        0.2         19.55       
 3.57        0.21        19.9        
 3.84        0.21        20.24       
 4.25        0.21        20.58       
 4.13        0.21        20.93       
 3.71        0.22        21.27       
 3.06        0.22        21.62       
 4.03        0.24        21.97       
 3.6         0.24        22.31       
 3.95        0.24        22.66       
 4.          0.25        23.03       
 5.11        0.25        23.4        
 8.11        0.25        23.77       
 7.51        0.26        24.14       
 6.93        0.27        24.52       
 5.1         0.28        25.01       
#ENDDATA        89          3
#Legend         3           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     M0363002 
