#---EXFOR Request #1050
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0010002 
#NOW            2022/01/17:06:06:20
#SUBENT         L0010002   20100405
#ENTRY          L0010      20100405
#AUTHOR1        S.C.Fultz+
#YEAR           1966
#X4REF1         J,PR,143,790,196603
#REFERENCE1     Jour: Physical Review, Vol.143, p.790 (1966)
#REACTION       (6-C-12(G,N)6-C-11,,SIG)+(6-C-12(G,N+P)5-B-10,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           165         3           12
!Y.Value     Y.Err+-     Y.pErr+-    X1.Value    X1.Resl+-   
!0.1         0.911       0.955       1.1         1.922       
!variable    variable    const       variable    variable    
!0.001       0.001       1.0         1000000.0   1000000.0   
!B           B           PER-CENT    EV          EV          
#DATA           142         5           12
 0.062                   2.          18.483                  
 0.082                   2.          18.866                  
 0.041                   2.          18.994                  
 0.082                   2.          19.193                  
 0.227                   2.          19.264                  
 0.351                   2.          19.349                  
 0.227                   2.          19.477                  
 0.227                   2.          19.605                  
 0.227                   2.          19.719                  
 0.412                   2.          19.761                  
 0.536       0.121       2.          19.832                  
 0.432                   2.          19.903                  
 0.344                   2.          19.951                  
 0.45                    2.          20.                     
 0.608                   2.          20.024                  
 0.713                   2.          20.096                  
 0.608                   2.          20.157                  
 0.502                   2.          20.229                  
 0.695                   2.          20.266                  
 0.994                   2.          20.266                  
 1.169                   2.          20.266                  
 1.309       0.158       2.          20.314                  
 1.116                   2.          20.411                  
 1.274                   2.          20.471                  
 1.45                    2.          20.52                   
 1.59        0.158       2.          20.604                  
 1.643                   2.          20.713                  
 1.8                     2.          20.786                  
 2.064                   2.          20.798                  
 2.379                   2.          20.858                  
 2.555                   2.          20.882                  
 2.713                   2.          20.955                  
 2.923                   2.          21.064                  
 3.327                   2.          21.136                  
 3.713                   2.          21.197                  
 4.169                   2.          21.257                  
 4.432       0.211       2.          21.305                  
 4.642                   2.          21.39                   
 4.888                   2.          21.463                  
 5.362                   2.          21.463                  
 5.8                     2.          21.499                  
 6.186                   2.          21.535                  
 6.449                   2.          21.608                  
 6.748                   2.          21.729                  
 6.958                   2.          21.765                  
 7.274                   2.          21.801      0.109       
 7.59                    2.          21.837                  
 8.011                   2.          21.862                  
 8.432                   2.          21.886                  
 8.923                   2.          21.946                  
 9.221       0.175       2.          22.067      0.133       
 8.975                   2.          22.164                  
 8.747                   2.          22.188                  
 8.484                   2.          22.2                    
 8.326                   2.          22.309                  
 8.028                   2.          22.369                  
 7.747                   2.          22.418                  
 7.555                   2.          22.49                   
 7.502                   2.          22.575                  
 7.712                   2.          22.635                  
 8.063                   2.          22.647                  
 8.484                   2.          22.647                  
 8.853                   2.          22.659                  
 9.046       0.211       2.          22.804      0.133       
 8.905                   2.          22.913                  
 8.712                   2.          22.974                  
 8.73                    2.          23.107                  
 8.537                   2.          23.167                  
 8.397                   2.          23.228                  
 8.537                   2.          23.312                  
 8.747                   2.          23.385                  
 9.028                   2.          23.409                  
 9.379                   2.          23.445                  
 9.765                   2.          23.469                  
 10.011                  2.          23.506                  
 10.151      0.246       2.          23.59       0.157       
 9.853                   2.          23.687                  
 9.484                   2.          23.723                  
 9.028                   2.          23.76                   
 8.572                   2.          23.796                  
 8.063                   2.          23.82                   
 7.625                   2.          23.868                  
 7.239                   2.          23.917                  
 6.958                   2.          23.953                  
 6.572                   2.          24.013                  
 6.186                   2.          24.086                  
 5.853                   2.          24.171                  
 5.484                   2.          24.267                  
 5.186                   2.          24.364                  
 4.888                   2.          24.473                  
 4.537                   2.          24.63                   
 4.414                   2.          24.751                  
 4.327                   2.          24.884                  
 4.572                   2.          25.005                  
 4.87                    2.          25.114                  
 5.099                   2.          25.21                   
 5.292                   2.          25.367                  
 5.256                   2.          25.525                  
 5.344                   2.          25.718                  
 5.52                    2.          25.839                  
 5.677       0.228       2.          26.008      0.242       
 5.52                    2.          26.141                  
 5.204                   2.          26.226                  
 4.835                   2.          26.298                  
 4.502                   2.          26.395                  
 4.116                   2.          26.516                  
